№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
198	670	пер.2-ой Волкова-7	7	06242954	2001	11.01 02:49	00009466	9466	****	****	****	****	****	****	****	****	1147
199	658	пр.Шахтеров-22	22	06242836	2001	11.01 02:41	00002152	2152	****	****	****	****	****	****	****	****	1147
200	289	пр.Советский-35	35	03352066	2001	06.01 02:04	00007718	7718	****	****	****	****	****	****	****	****	115
201	291	пр.Советский-37	37	03372705	2001	06.01 02:14	00003181	3181	****	****	****	****	****	****	****	****	115
202	281	пр.Советский-37	37	06250477	2001	06.01 02:05	00005316	5316	****	****	****	****	****	****	****	****	115
203	637	пр.Советский	28	07952676	2001	06.01 02:13	00012778	12778	****	****	****	****	****	****	****	****	115
204	10	Ноградская следст комитет	8	07000120	2001	06.01 02:16	00002537	2537	****	****	****	****	****	****	****	****	115
205	280	пр.Советский-39	39	04450899	2003	06.01 02:14	00013580	13580	****	****	****	****	****	****	****	****	115
206	286	пр.Советский-39	39	03352019	2003	06.01 02:08	00006025	6025	****	****	****	****	****	****	****	****	115
207	300	ул.Ноградская-8	8	03372523	2002	06.01 01:32	00008100	8100	****	****	****	****	****	****	****	****	115
208	279	ул.Тульская-18	18	07013822	2001	11.01 02:12	00033266	33266	****	****	****	****	****	****	****	****	1154
209	285	ул.Тульская-20	20	07013907	2001	11.01 02:14	00032348	32348	****	****	****	****	****	****	****	****	1154
210	12	ул.Смирнова-21	21	03370874	2001	11.01 02:15	00027720	27720	****	****	****	****	****	****	****	****	1154
211	141	ул.Смирнова-23	23	06298427	2001	11.01 02:15	00030463	30463	****	****	****	****	****	****	****	****	1154
212	262	1-ый Тульский пер.-8	8	06298779	2001	11.01 02:18	00026124	26124	****	****	****	****	****	****	****	****	1154
213	259	ул.Ю.Смирнова-17	17	06298547	2001	11.01 02:13	00030031	30031	****	****	****	****	****	****	****	****	1154
214	350	ул.Лядова-1	1	06259107	2002	11.01 02:15	00030472	30472	****	****	****	****	****	****	****	****	1154
215	265	ул.Смирнова-19	19	06298719	2002	11.01 02:17	00037088	37088	****	****	****	****	****	****	****	****	1154
216	348	ул.Лядова-5	5	06259104	2002	11.01 02:23	00014558	14558	****	****	****	****	****	****	****	****	1154
217	274	ул.Тульская-22	22	06298370	2002	11.01 02:18	00025812	25812	****	****	****	****	****	****	****	****	1154
218	353	пер.1-ый Тульский-6	6	04410196	2003	11.01 02:22	00017641	17641	****	****	****	****	****	****	****	****	1154
219	138	ул.Лядова-9	9	06298449	2003	11.01 02:16	00027919	27919	****	****	****	****	****	****	****	****	1154
220	1	ул.Лядова-7	7	03379448	2003	11.01 02:24	00022208	22208	****	****	****	****	****	****	****	****	1154
221	351	пер.1-ый Тульский-4	4	04409955	2003	11.01 02:23	00012421	12421	****	****	****	****	****	****	****	****	1154
222	240	ул.Лядова-3	3	06298652	2003	11.01 02:22	00020314	20314	****	****	****	****	****	****	****	****	1154
223	271	пер.1-ый Тульский-2	2	06298653	2003	11.01 02:19	00025036	25036	****	****	****	****	****	****	****	****	1154
224	423	ул.Смирнова-21а	21а	04450378	2003	11.01 02:20	00074163	74163	****	****	****	****	****	****	****	****	1154
225	197	пер.1-ый Тульский-9	9	06298574	2001	11.01 02:07	00015725	15725	****	****	****	****	****	****	****	****	1155
226	269	ул.Тульская-30	30	06298627	2001	11.01 02:15	00010228	10228	****	****	****	****	****	****	****	****	1155
227	261	пер. 2-ой Тульский-6	6	06298476	2001	11.01 02:03	00012239	12239	****	****	****	****	****	****	****	****	1155
228	278	пер.1-ый Тульский-	3	07016245	2001	11.01 01:33	00016358	16358	****	****	****	****	****	****	****	****	1155
229	260	пер.1-ый Тульский-7	7	06298551	2003	11.01 02:09	00015149	15149	****	****	****	****	****	****	****	****	1155
230	1	пер.1-ый Тульский-1	1	03385413	2003	11.01 02:00	00019185	19185	****	****	****	****	****	****	****	****	1155
231	916	ул.Смирнова-31	31	07002040	2003	11.01 02:05	00018772	18772	****	****	****	****	****	****	****	****	1155
232	263	пер.2-ой Тульский-10	10	06298498	2003	11.01 02:02	00010134	10134	****	****	****	****	****	****	****	****	1155
233	272	пер.2-ой Тульский-4	4	06298373	2002	11.01 02:14	00017257	17257	****	****	****	****	****	****	****	****	1155
234	273	ул.Тульская-32	32	06298766	2002	11.01 02:04	00014233	14233	****	****	****	****	****	****	****	****	1155
235	928	ул. Нахимова-30	30	06232399	2001	****	****	0	****	****	****	****	****	****	****	****	1156
236	971	Нахимова 35 (971)		06243384	2001	****	****	0	****	****	****	****	****	****	****	****	1156
